# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-11 UTC;8.00;4.00;4.00;32.00;32.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-11 UTC;8.00;8.00;24813.00;0.00;87426.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-11 UTC;62505356;2848544;4.36;4856;1109072;1752356;2.68;1031824;1075380;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-11 UTC;-1;12.25;0.00;1.00;0.00;0.00;86.75
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-12 UTC;3085.00;3085.00;0.00;570016.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-12 UTC;142504.00;0.00;61622.00;0.00;46351.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-12 UTC;62292260;3061640;4.68;5092;1252652;2028296;3.10;1107396;1212552;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-12 UTC;-1;15.56;0.00;2.01;2.89;0.00;79.55
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-13 UTC;77.00;77.00;0.00;13680.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-13 UTC;3420.00;0.00;60614.00;0.00;80468.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-13 UTC;62364008;2989892;4.57;5096;1255476;1748464;2.68;1032524;1216020;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-13 UTC;-1;11.88;0.00;1.62;0.25;0.00;86.25
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-14 UTC;2.00;2.00;0.00;16.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-14 UTC;4.00;0.00;2598.00;0.00;6085.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-14 UTC;62361816;2992084;4.58;5100;1255348;1748464;2.68;1033252;1216780;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-14 UTC;-1;12.66;0.00;2.88;0.00;0.00;84.46
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-15 UTC;3130.00;3130.00;0.00;563792.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-15 UTC;140948.00;0.00;115584.00;0.00;42449.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-15 UTC;61923140;3430760;5.25;5328;1397116;2055412;3.15;1335232;1351960;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-15 UTC;-1;16.29;0.00;2.38;2.51;0.00;78.82
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-16 UTC;6.00;6.00;0.00;272.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-16 UTC;68.00;0.00;13571.00;0.00;91181.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-16 UTC;62224612;3129288;4.79;5376;1396160;1744956;2.67;1034744;1351708;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-16 UTC;-1;12.52;0.00;0.88;0.00;0.00;86.61
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-17 UTC;3181.00;3177.00;4.00;572176.00;32.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-17 UTC;143044.00;8.00;86583.00;0.00;43532.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-17 UTC;61896544;3457356;5.29;5632;1540092;2052604;3.14;1223268;1489608;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-17 UTC;-1;16.04;0.00;2.13;2.88;0.00;78.95
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-18 UTC;0.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-18 UTC;0.00;0.00;42139.00;0.00;88893.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-18 UTC;62079588;3274312;5.01;5652;1538928;1745816;2.67;1040560;1489492;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-18 UTC;-1;12.39;0.00;1.00;0.00;0.00;86.61
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-19 UTC;1147.00;1125.00;22.00;197224.00;200.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-19 UTC;49152.00;36.00;28976.00;0.00;42262.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-19 UTC;62063700;3290200;5.03;5748;1589216;2049256;3.14;1009968;1534368;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-19 UTC;-1;13.77;0.00;1.13;1.38;0.00;83.73
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-20 UTC;2051.00;2051.00;0.00;367080.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-20 UTC;91924.00;0.00;99276.00;0.00;4364.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-20 UTC;61596708;3757192;5.75;5880;1680716;2082040;3.19;1385808;1626452;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-20 UTC;-1;14.61;0.00;1.39;1.64;0.00;82.37
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-21 UTC;0.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-21 UTC;0.00;0.00;242.00;0.00;90346.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-21 UTC;61937040;3416860;5.23;5896;1679928;1745124;2.67;1045000;1626088;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-21 UTC;-1;12.52;0.00;0.50;0.00;0.00;86.98
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-22 UTC;3199.00;3199.00;0.00;567008.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-22 UTC;141752.00;0.00;110348.00;0.00;42873.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-22 UTC;61523528;3830372;5.86;6136;1821744;2043060;3.13;1320580;1762176;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-22 UTC;-1;16.04;0.00;2.51;2.76;0.00;78.70
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-23 UTC;4.00;0.00;4.00;0.00;32.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-23 UTC;0.00;8.00;18133.00;0.00;89240.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-23 UTC;61795072;3558828;5.45;6180;1821448;1744988;2.67;1050012;1762400;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-23 UTC;-1;12.52;0.00;0.75;0.00;0.00;86.73
