# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-56 UTC;23170.00;23170.00;0.00;185360.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-56 UTC;92172.00;0.00;47836.00;22936.00;1093.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-56 UTC;63338120;2015780;3.08;15052;1082940;1340920;2.05;158340;601948;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-56 UTC;-1;6.56;0.00;4.50;75.32;0.00;13.62
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-57 UTC;25658.00;25658.00;0.00;205264.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-57 UTC;102696.00;0.00;51483.00;25674.00;491.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-57 UTC;63235208;2118692;3.24;15052;1184928;1340920;2.05;158340;704060;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-57 UTC;-1;7.34;0.00;4.63;75.68;0.00;12.36
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-58 UTC;24237.00;24214.00;23.00;193712.00;236.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-58 UTC;96876.00;42.00;50417.00;24219.00;1150.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-58 UTC;63137372;2216528;3.39;15060;1281496;1340924;2.05;158360;801100;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-58 UTC;-1;6.65;0.00;3.91;77.44;0.00;11.99
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-59 UTC;26201.00;26199.00;2.00;209592.00;4.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-59 UTC;104796.00;2.00;52533.00;26199.00;499.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-59 UTC;63032380;2321520;3.55;15060;1387664;1340924;2.05;158360;906016;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-59 UTC;-1;7.25;0.00;4.27;76.04;0.00;12.44
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-00 UTC;23526.00;23526.00;0.00;188208.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-00 UTC;94096.00;0.00;49643.00;23524.00;1300.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-00 UTC;62938624;2415276;3.70;15060;1481232;1340916;2.05;158280;999904;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-00 UTC;-1;6.94;0.00;4.50;77.25;0.00;11.31
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-01 UTC;25053.00;25053.00;0.00;200424.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-01 UTC;100200.00;0.00;50235.00;25050.00;491.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-01 UTC;62837700;2516200;3.85;15060;1581696;1340916;2.05;158360;1100356;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-01 UTC;-1;6.04;0.00;3.81;78.61;0.00;11.55
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-02 UTC;22357.00;22357.00;0.00;178856.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-02 UTC;89364.00;0.00;46596.00;22335.00;1065.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-02 UTC;62748340;2605560;3.99;15080;1670040;1340920;2.05;158372;1190092;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-02 UTC;-1;6.06;0.00;6.84;71.48;0.00;15.61
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-03 UTC;23292.00;23292.00;0.00;186336.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-03 UTC;93224.00;0.00;46747.00;23306.00;491.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-03 UTC;62655076;2698824;4.13;15080;1764296;1340920;2.05;158380;1282996;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-03 UTC;-1;5.97;0.00;4.15;77.30;0.00;12.58
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-04 UTC;18929.00;18927.00;2.00;151416.00;16.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-04 UTC;75624.00;4.00;39746.00;18906.00;1055.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-04 UTC;62579528;2774372;4.25;15080;1839452;1340920;2.05;158416;1358492;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-04 UTC;-1;4.81;0.00;3.25;71.56;0.00;20.39
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-05 UTC;20524.00;20524.00;0.00;164192.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-05 UTC;82168.00;0.00;41219.00;20542.00;491.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-05 UTC;62497424;2856476;4.37;15080;1921552;1340920;2.05;158396;1440160;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-05 UTC;-1;5.11;0.00;3.01;75.10;0.00;16.78
