# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-52 UTC;1023.00;1007.00;16.00;240688.00;152.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-52 UTC;120344.00;32.00;37020.00;0.00;36913.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-52 UTC;62146240;3207660;4.91;9144;1467064;1717972;2.63;1046668;1421792;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-52 UTC;-1;13.32;0.00;1.13;3.02;0.00;82.54
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-53 UTC;0.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-53 UTC;0.00;0.00;2216.00;0.00;34010.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-53 UTC;62278060;3075840;4.71;9144;1467008;1585800;2.43;914980;1421888;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-53 UTC;-1;13.23;0.00;0.37;0.00;0.00;86.39
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-54 UTC;1005.00;1005.00;0.00;240416.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-54 UTC;120208.00;0.00;37662.00;0.00;3068.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-54 UTC;62016944;3336956;5.11;9264;1586840;1726036;2.64;1059876;1537224;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-54 UTC;-1;13.61;0.00;2.37;2.25;0.00;81.77
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-55 UTC;1153.00;1153.00;0.00;279496.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-55 UTC;139928.00;0.00;46088.00;0.00;44982.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-55 UTC;61870584;3483316;5.33;9404;1726612;1672776;2.56;1071604;1671956;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-55 UTC;-1;13.68;0.00;3.64;2.76;0.00;79.92
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-56 UTC;564.00;564.00;0.00;134352.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-56 UTC;67036.00;0.00;35037.00;0.00;54947.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-56 UTC;61884504;3469396;5.31;9556;1794616;1584428;2.42;997740;1730788;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-56 UTC;-1;16.50;0.00;1.38;1.62;0.00;80.50
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-57 UTC;1262.00;1262.00;0.00;302480.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-57 UTC;151200.00;0.00;53423.00;0.00;17325.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-57 UTC;61585724;3768176;5.77;9724;1946072;1527024;2.34;1149056;1878336;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-57 UTC;-1;17.15;0.00;1.75;3.63;0.00;77.47
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-58 UTC;875.00;872.00;3.00;210256.00;24.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-58 UTC;105128.00;8.00;32589.00;0.00;42536.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-58 UTC;61522276;3831624;5.86;9896;2051772;1473116;2.25;1123304;1967708;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-58 UTC;-1;17.52;0.00;1.25;2.38;0.00;78.85
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-59 UTC;693.00;693.00;0.00;164848.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-59 UTC;82424.00;0.00;27182.00;0.00;19649.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-59 UTC;61403640;3950260;6.04;10064;2134964;1411612;2.16;1170068;2038312;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-59 UTC;-1;19.85;0.00;0.88;1.88;0.00;77.39
sasa.cl.cam.ac.uk;1;2013-03-26 23-20-00 UTC;1317.00;1317.00;0.00;316424.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-00 UTC;158212.00;0.00;46350.00;0.00;31064.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-00 UTC;61187472;4166428;6.38;10248;2293760;1431396;2.19;1247404;2176408;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-00 UTC;-1;17.00;0.00;1.38;3.62;0.00;78.00
sasa.cl.cam.ac.uk;1;2013-03-26 23-20-01 UTC;888.00;888.00;0.00;213280.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-01 UTC;106768.00;0.00;28821.00;0.00;33079.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-01 UTC;61094952;4258948;6.52;10428;2401168;1433264;2.19;1249328;2267952;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-01 UTC;-1;17.21;0.00;0.88;2.64;0.00;79.27
