# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-53 UTC;16341.00;16339.00;2.00;130712.00;16.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-53 UTC;65356.00;4.00;32706.00;16323.00;194.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-53 UTC;64149016;1204884;1.84;2100;337048;769900;1.18;141268;7632;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-53 UTC;-1;0.00;0.00;3.18;7.77;0.00;89.04
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-54 UTC;16454.00;16438.00;16.00;132008.00;152.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-54 UTC;65724.00;28.00;34626.00;16349.00;1058.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-54 UTC;64083312;1270588;1.94;2428;402620;769900;1.18;141588;7860;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-54 UTC;-1;0.13;0.00;2.82;8.08;0.00;88.97
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-55 UTC;11892.00;11892.00;0.00;95136.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-55 UTC;47576.00;0.00;229360.00;11878.00;504.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-55 UTC;63214784;2139116;3.27;2492;1271260;1648832;2.52;141472;27708;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-55 UTC;-1;4.30;0.00;5.31;9.48;0.00;80.91
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-56 UTC;30426.00;30426.00;0.00;243408.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-56 UTC;121704.00;0.00;62696.00;30382.00;1053.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-56 UTC;63092512;2261388;3.46;2668;1392700;1648832;2.52;141808;149484;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-56 UTC;-1;11.17;0.00;5.19;37.53;0.00;46.10
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-57 UTC;27162.00;27162.00;0.00;217296.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-57 UTC;108640.00;0.00;54388.00;27125.00;486.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-57 UTC;62983464;2370436;3.63;2808;1501720;1648832;2.52;141716;257996;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-57 UTC;-1;10.42;0.00;4.63;35.65;0.00;49.29
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-58 UTC;30647.00;30647.00;0.00;245176.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-58 UTC;122604.00;0.00;63852.00;30604.00;1353.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-58 UTC;62859904;2493996;3.82;2996;1623948;1648832;2.52;141880;380028;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-58 UTC;-1;12.94;0.00;5.33;37.06;0.00;44.67
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-59 UTC;28148.00;28128.00;20.00;225024.00;168.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-59 UTC;112504.00;32.00;56298.00;28080.00;491.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-59 UTC;62746992;2606908;3.99;3188;1735864;1648832;2.52;142072;492412;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-59 UTC;-1;12.58;0.00;4.19;34.94;0.00;48.28
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-00 UTC;28359.00;28359.00;0.00;226872.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-00 UTC;113448.00;0.00;58546.00;28310.00;1041.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-00 UTC;62632700;2721200;4.16;3396;1849168;1648832;2.52;142288;605776;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-00 UTC;-1;10.91;0.00;5.13;36.71;0.00;47.24
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-01 UTC;28611.00;28611.00;0.00;228888.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-01 UTC;114424.00;0.00;56344.00;28076.00;488.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-01 UTC;62514316;2839584;4.34;5516;1961712;1648832;2.52;142764;719096;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-01 UTC;-1;11.25;0.00;4.27;36.09;0.00;48.38
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-02 UTC;26520.00;26520.00;0.00;212160.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-02 UTC;106056.00;0.00;54790.00;26360.00;1077.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-02 UTC;62406148;2947752;4.51;6140;2066796;1648832;2.52;143512;824232;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-02 UTC;-1;12.36;0.00;7.13;32.36;0.00;48.15
