32,14412,19850
33,5573,13906
34,2423,15449
35,1616,20211
36,1373,24194
37,1272,25358
38,1172,24791
39,1208,25821
40,1131,25135
41,1036,21388
42,998,21874
43,955,19803
44,1023,20933
45,941,18601
46,949,18261
47,925,16268
48,914,15649
49,947,16178
50,952,16163
51,1025,16723
52,1087,17738
53,1051,16266
54,1131,18650
55,1148,19146
56,1235,20649
57,1195,19330
58,1228,20504
59,1349,24269
60,1362,24883
61,1308,23464
62,1394,24366
63,1377,25161
64,1818,28705
65,1697,28780
66,1653,30480
67,1579,28543
68,1632,30763
69,1540,31181
70,1595,31147
71,1663,32585
72,1616,33415
73,1690,35486
74,1646,35188
75,1770,38507
76,1721,36764
77,1848,38464
78,1799,35623
79,1794,38500
80,1840,38694
81,1895,40349
82,1931,39617
83,2023,43445
84,1954,39206
85,1992,42156
86,2057,42833
87,1946,42122
88,1955,40312
89,2140,43117
90,2176,45110
91,2173,43771
92,2176,42540
93,2182,42435
94,2150,42905
95,2192,41929
96,2202,41007
97,2186,42326
98,2232,41613
99,2254,43650
100,2217,42148
101,2149,39713
102,2135,39735
103,2232,41679
104,2241,41590
105,2168,39905
106,2209,39104
107,2257,40635
108,2399,41224
109,2302,40561
110,2211,39540
111,2226,39543
112,2242,38453
113,2276,39831
114,2160,35819
115,2258,38487
116,2301,38829
117,2198,35760
118,2282,36314
119,2281,37826
120,2329,37190
121,2262,36981
122,2264,36741
123,2264,35721
124,2378,35685
125,2377,36887
126,2345,35385
127,2367,37811
128,2337,35882
129,2341,36377
130,2288,35996
131,2345,35170
132,2189,32729
133,2302,35360
134,2300,32414
135,2261,34678
136,2322,35740
137,2241,33305
138,2272,34127
139,2252,34501
140,2250,33662
141,2364,36103
142,2248,33780
143,2288,34061
144,2306,34698
145,2294,34160
146,2301,34329
147,2379,35385
148,2292,34260
149,2317,34640
150,2265,32630
151,2267,33629
152,2216,32003
153,2241,33809
154,2195,31666
155,2357,33589
156,2229,33299
157,2236,33569
158,2296,34976
159,2291,33332
160,2247,33907
161,2289,32942
162,2244,33664
163,2108,31403
164,2211,33891
165,2208,32502
166,2182,31958
167,2233,34996
168,2211,33909
169,2206,33091
170,2229,34601
171,2203,33696
172,2217,34631
173,2156,32301
174,2186,34381
175,2061,32144
176,2176,33025
177,2165,33615
178,2113,32687
179,2175,34554
180,2082,32720
181,2048,30292
182,2180,33344
183,2110,32070
184,2190,34712
185,2205,33773
186,2086,33017
187,2123,33185
188,2098,31539
189,2167,33378
190,1976,30429
191,2194,34115
192,2163,34472
193,2184,35059
194,2178,33741
195,2081,32195
196,2099,33177
197,2167,34524
198,2068,32937
199,2085,33975
200,2080,33784
201,2042,32369
202,2058,34382
203,1989,32226
204,2043,33329
205,2028,33454
206,1899,30981
207,2061,33983
208,2056,34332
209,2051,35227
210,1988,32631
211,1962,31440
212,1963,31681
213,1969,31977
214,1956,33167
215,1915,31037
216,1908,30811
217,1900,30767
218,1910,31597
219,1833,31080
220,1898,31982
221,1883,31935
222,1990,33145
223,1853,30184
224,1906,31836
225,1941,32210
226,1930,31464
227,1905,31748
228,1992,33261
229,1828,30685
230,1807,30857
231,1875,31411
232,1784,31106
233,1715,29046
234,1772,29959
235,1770,30475
236,1855,32462
237,1799,31274
238,1817,31453
239,1783,31596
240,1828,31372
241,1692,29813
242,1792,30350
243,1752,31061
244,1782,30962
245,1757,29450
246,1740,30747
247,1721,30400
248,1817,31136
249,1735,31003
250,1771,30813
251,1754,30730
252,1695,29617
253,1700,29533
254,1708,29476
255,1642,28237
256,1653,29065
257,1645,29498
258,1677,29475
259,1690,29614
260,1706,30026
261,1639,28951
262,1583,28989
263,1732,31514
264,1632,28985
265,1605,28747
266,1590,28786
267,1636,29648
268,1622,29698
269,1675,29806
270,1549,28565
271,1528,27098
272,1641,29442
273,1558,29107
274,1628,29876
275,1507,28277
276,1563,28902
277,1524,27112
278,1545,27777
279,1501,27209
280,1597,29494
281,1605,30087
282,1524,28194
283,1533,28797
284,1484,27768
285,1543,28856
286,1469,27846
287,1506,28123
288,1486,27880
289,1421,26904
290,1493,28658
291,1452,27462
292,1467,28526
293,1445,27601
294,1502,28806
295,1387,26799
296,1509,30014
297,1528,29302
298,1394,27382
299,1358,26628
300,1397,27081
301,1465,28708
302,1466,28841
303,1419,27744
304,1391,27373
305,1382,26792
306,1370,27344
307,1435,28432
308,1297,25703
309,1318,26206
310,1371,27469
311,1406,27920
312,1343,26536
313,1354,27097
314,1372,26999
315,1400,28064
316,1347,26364
317,1301,25652
318,1331,26789
319,1284,25639
320,1298,26317
321,1311,26668
322,1289,25699
323,1329,27721
324,1271,26404
325,1329,27846
326,1315,26984
327,1246,25517
328,1235,25175
329,1277,25786
330,1271,26665
331,1256,26000
332,1235,25324
333,1292,26253
334,1283,26469
335,1299,27460
336,1211,25209
337,1251,26468
338,1285,25781
339,1239,25997
340,1255,26495
341,1244,26724
342,1237,25961
343,1217,26323
344,1233,26120
345,1231,26103
